Index,PROJECT,SURVTYP,REEF,DATE,STATION,TRANSECT,DIVER,DATATYP,SPECIES,NUMBER,SIZE,SIZE_TP,NO_TP
18,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CH.XANT,1,20,,
19,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,AC.MACU,1,25,,
20,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CT.MARG,1,25,,
21,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,5,15,,
22,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,20,,
23,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CT.STRI,2,20,,
24,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,BA.UNDU,1,20,,
25,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,ME.VIDU,2,25,,
26,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,PS.HEXA,1,10,,
27,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,PS.OCTO,4,10,,
28,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CO.GAIM,1,10,,
29,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CO.GAIM,1,25,,
30,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,HA.ORNA,1,10,,
31,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,HA.MELA,1,10,,
32,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,LE.TAPE,3,10,,
33,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CE.FLAV,1,15,,
34,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CE.LORI,4,10,,
35,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CH.PELE,1,15,,
36,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CH.MARG,115,5,,
37,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CH.MARG,55,10,,
38,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PL.JOHN,1,10,,
39,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PA.MULT,1,10,,
40,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PA.MULT,1,15,,
41,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PA.MULT,1,30,,
42,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PA.BARB,1,40,,
43,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PS.BART,40,5,,
44,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PS.BART,30,5,,
45,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PS.OLIV,20,5,,
46,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CE.ARGU,1,40,,
47,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CE.UROD,1,20,,
48,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PA.FORS,1,15,,
49,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PA.HEMI,1,20,,
50,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CH.MICR,1,25,,
51,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CH.MICR,1,35,,
52,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CH.SORD,1,35,35,1
53,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,SC.TRIC,1,30,,
54,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,SC.NIGE,1,35,,
55,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,LU.BOHA,1,50,,
56,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,LU.GIBB,1,40,,
57,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,AC.NIGR,1,20,,
58,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CH.XANT,6,15,,
59,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,AC.MACU,2,30,,
60,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,AC.MACU,1,35,,
61,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,AC.THOM,2,20,,
62,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,5,15,,
63,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,3,20,,
64,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,1,25,,
65,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,ME.VIDU,2,30,,
66,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,LA.DIMI,1,10,,
67,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PS.OCTO,2,10,,
68,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,OX.UNIF,1,15,,
69,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,OX.UNIF,2,20,,
70,PAL_2012,BLT,PAL_30,9/14/2012,FR3,B,SAS,QUAN,PS.OLIV,80,5,,
71,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CE.FLAV,1,10,,
72,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CE.LORI,2,10,,
73,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.TRIF,1,15,,
74,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.PELE,2,15,,
75,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.MARG,150,5,,
76,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.MARG,20,10,,
77,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PL.JOHN,3,5,,
78,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PL.JOHN,2,10,,
79,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PA.MULT,2,15,,
80,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PA.MULT,1,20,,
81,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PA.MULT,2,25,,
82,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PA.CYCL,1,25,,
83,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CE.UROD,1,20,,
84,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PA.ARCA,2,10,,
85,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.MICR,1,30,,
86,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.SORD,1,30,,
87,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,SC.GHOB,1,35,,
88,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,LU.GIBB,1,30,,
89,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,AC.NIGR,1,15,,
90,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.XANT,4,5,,
91,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CH.XANT,20,15,,
92,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,AC.THOM,2,10,,
93,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,10,,
94,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,15,,
95,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,2,20,,
96,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,25,,
97,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,ME.VIDU,1,25,,
98,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,GO.VARI,2,15,,
99,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,GO.VARI,1,20,,
100,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PS.OCTO,2,10,,
101,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,OX.UNIF,1,15,,
102,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,OX.UNIF,1,20,,
103,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,OX.UNIF,1,25,,
104,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CIRR.SP,2,10,,
105,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,CA.MELA,1,120,,
106,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PS.HETE,14,15,,
107,PAL_2012,BLT,PAL_20,9/14/2012,FR3,A,SAS,QUAN,PS.HETE,1,20,,
108,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CE.LORI,2,10,,
109,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.AURI,2,20,,
110,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.RETI,1,15,,
111,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.MARG,100,5,,
112,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.MARG,50,10,,
113,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PL.DICK,1,5,,
114,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PL.JOHN,3,5,,
115,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PL.JOHN,2,10,,
116,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PA.MULT,1,15,,
117,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PS.BART,25,5,,
118,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PS.BART,60,10,,
119,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PS.OLIV,20,10,,
120,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CE.ARGU,1,25,,
121,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PA.FORS,2,15,,
122,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.SORD,1,25,,
123,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.SORD,3,30,30,3
124,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,SC.FREN,1,15,,
125,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,SC.FREN,1,20,,
126,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,SC.FREN,1,25,,
127,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,SC.NIGE,1,20,,
128,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,LU.BOHA,1,30,,
129,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,LU.BOHA,1,50,,
130,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,LU.GIBB,1,40,,
131,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.XANT,15,5,,
132,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.XANT,5,10,,
133,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CH.XANT,10,15,,
134,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,AC.THOM,1,15,,
135,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,1,10,,
136,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,2,15,,
137,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,1,20,,
138,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,LA.DIMI,1,5,,
139,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,LA.RUBR,1,5,,
140,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PS.HEXA,1,10,,
141,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PS.OCTO,1,5,,
142,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,PS.OCTO,1,10,,
143,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,EP.INSI,1,30,,
144,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CIRR.SP,1,10,,
145,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CA.AMBL,1,140,,
146,PAL_2012,BLT,PAL_20,9/14/2012,FR3,B,SAS,QUAN,CI.EXQU,2,10,,
147,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CH.ACAR,195,5,,
148,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CH.MARG,70,5,,
149,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CH.VAND,171,5,,
150,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PL.DICK,5,5,,
151,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PL.JOHN,1,5,,
152,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PL.JOHN,1,10,,
153,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,ST.AURE,2,5,,
154,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,ST.AURE,2,10,,
155,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PS.DISP,35,5,,
156,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PA.ARCA,2,5,,
157,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PA.ARCA,4,10,,
158,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PA.ARCA,2,15,,
159,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PA.FORS,1,15,,
160,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,SC.TRIC,1,30,,
161,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,SC.RUBR,1,40,40,1
162,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,AC.NIGR,4,15,,
163,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,AC.NIGR,3,20,,
164,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,AC.NIGR,2,25,,
165,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.MARG,1,10,,
166,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,5,,
167,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,4,10,,
168,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,15,,
169,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,20,,
170,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.MARG,1,10,,
171,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,5,,
172,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,4,10,,
173,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,15,,
174,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.CYAN,1,20,,
175,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CT.STRI,1,20,,
176,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,ME.VIDU,1,25,,
177,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,ME.VIDU,1,30,,
178,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,GO.VARI,2,5,,
179,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,GO.VARI,1,10,,
180,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,GO.VARI,1,25,,
181,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,HA.ORNA,2,5,,
182,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,TH.QUIN,1,10,,
183,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PS.HEXA,2,5,,
184,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PS.OCTO,1,5,,
185,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CH.TRIL,1,25,,
186,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,OX.UNIF,1,25,,
187,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,AU.CHIN,1,50,,
188,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,MA.MELE,1,10,,
189,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,CIRR.SP,8,10,,
190,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,KY.CINE,1,35,,
191,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,PE.OUAL,1,20,,
192,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,ZA.CORN,2,20,,
193,PAL_2012,BLT,PAL_10,9/14/2012,FR3,A,SAS,QUAN,LE.TAPE,60,5,,
194,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CE.FLAV,3,10,,
195,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CH.ACAR,30,5,,
196,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CH.MARG,15,5,,
197,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CH.VAND,300,5,,
198,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PL.DICK,3,5,,
199,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PL.DICK,1,10,,
200,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PL.JOHN,5,5,,
201,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PL.JOHN,1,10,,
202,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,ST.AURE,1,5,,
203,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,ST.AURE,5,10,,
204,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,ST.AURE,1,15,,
205,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PA.MULT,1,25,,
206,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PA.MULT,1,30,,
207,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PA.ARCA,1,5,,
208,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PA.ARCA,4,10,,
209,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PA.FORS,2,10,,
210,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PA.FORS,1,15,,
211,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CH.SORD,1,10,,
212,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,SC.FREN,1,30,30,1
213,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,AC.NIGR,4,15,,
214,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,AC.NIGR,2,20,,
215,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,AC.NIGR,1,25,,
216,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CH.XANT,5,5,,
217,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CT.MARG,1,20,,
218,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,1,5,,
219,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,4,10,,
220,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CT.CYAN,3,15,,
221,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,GO.VARI,2,5,,
222,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,GO.VARI,1,10,,
223,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,GO.VARI,1,15,,
224,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,GO.VARI,1,20,,
225,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,HA.ORNA,1,5,,
226,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,HA.ORNA,1,10,,
227,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,LA.DIMI,1,10,,
228,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,LA.RUBR,1,5,,
229,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,TH.QUIN,3,10,,
230,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PS.HEXA,3,5,,
231,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PS.OCTO,1,10,,
232,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CO.GAIM,1,25,,
233,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,PO.COEL,15,5,,
234,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,OX.UNIF,1,15,,
235,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CIRR.SP,2,5,,
236,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CIRR.SP,2,10,,
237,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,KY.CINE,3,30,,
238,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,EP.INSI,1,25,,
239,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CA.MELAN,1,30,,
240,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,CA.MELAN,1,35,,
241,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,LE.TAPE,100,5,,
242,PAL_2012,BLT,PAL_10,9/14/2012,FR3,B,SAS,QUAN,LE.TAPE,30,10,,
243,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,CH.AURI,2,15,,
244,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,CH.MARG,380,5,,
245,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,CH.MARG,90,10,,
246,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PO.COEL,10,5,,
247,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PA.MULT,1,10,,
248,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PA.MULT,1,25,,
249,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PS.BART,80,5,,
250,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PS.BART,30,10,,
251,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PS.OLIV,10,5,,
252,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PS.COOP,16,5,,
253,PAL_2012,BLT,PAL_30,9/17/2012,FR7,A,SAS,QUAN,PS.COOP,23,10,,
